Freq.	V(h)
1.00000000000000e+000	(-1.86474445298668e+002dB,-3.64059052423138e-001°)
1.00767911871528e+000	(-1.86208658817734e+002dB,-3.66854794784669e-001°)
1.01541720629481e+000	(-1.85942872248148e+002dB,-3.69672008065647e-001°)
1.02321471556749e+000	(-1.85677085588542e+002dB,-3.72510857192118e-001°)
1.03107210283956e+000	(-1.85411298837530e+002dB,-3.75371508357806e-001°)
1.03898982792128e+000	(-1.85145511993700e+002dB,-3.78254129033720e-001°)
1.04696835415386e+000	(-1.84879725055624e+002dB,-3.81158887978156e-001°)
1.05500814843655e+000	(-1.84613938021846e+002dB,-3.84085955246470e-001°)
1.06310968125399e+000	(-1.84348150890892e+002dB,-3.87035502201129e-001°)
1.07127342670371e+000	(-1.84082363661264e+002dB,-3.90007701521813e-001°)
1.07949986252389e+000	(-1.83816576331439e+002dB,-3.93002727215464e-001°)
1.08778947012134e+000	(-1.83550788899874e+002dB,-3.96020754626612e-001°)
1.09614273459964e+000	(-1.83285001365000e+002dB,-3.99061960447591e-001°)
1.10456014478753e+000	(-1.83019213725223e+002dB,-4.02126522728945e-001°)
1.11304219326752e+000	(-1.82753425978926e+002dB,-4.05214620889954e-001°)
1.12158937640474e+000	(-1.82487638124467e+002dB,-4.08326435729086e-001°)
1.13020219437596e+000	(-1.82221850160178e+002dB,-4.11462149434653e-001°)
1.13888115119884e+000	(-1.81956062084366e+002dB,-4.14621945595565e-001°)
1.14762675476150e+000	(-1.81690273895311e+002dB,-4.17806009212021e-001°)
1.15643951685215e+000	(-1.81424485591268e+002dB,-4.21014526706510e-001°)
1.16531995318910e+000	(-1.81158697170462e+002dB,-4.24247685934649e-001°)
1.17426858345093e+000	(-1.80892908631095e+002dB,-4.27505676196289e-001°)
1.18328593130688e+000	(-1.80627119971337e+002dB,-4.30788688246664e-001°)
1.19237252444751e+000	(-1.80361331189334e+002dB,-4.34096914307554e-001°)
1.20152889461558e+000	(-1.80095542283198e+002dB,-4.37430548078580e-001°)
1.21075557763718e+000	(-1.79829753251018e+002dB,-4.40789784748677e-001°)
1.22005311345304e+000	(-1.79563964090849e+002dB,-4.44174821007481e-001°)
1.22942204615020e+000	(-1.79298174800719e+002dB,-4.47585855056940e-001°)
1.23886292399378e+000	(-1.79032385378622e+002dB,-4.51023086622988e-001°)
1.24837629945909e+000	(-1.78766595822525e+002dB,-4.54486716967239e-001°)
1.25796272926398e+000	(-1.78500806130361e+002dB,-4.57976948898872e-001°)
1.26762277440140e+000	(-1.78235016300032e+002dB,-4.61493986786543e-001°)
1.27735700017223e+000	(-1.77969226329408e+002dB,-4.65038036570424e-001°)
1.28716597621835e+000	(-1.77703436216326e+002dB,-4.68609305774307e-001°)
1.29705027655600e+000	(-1.77437645958590e+002dB,-4.72208003517802e-001°)
1.30701047960937e+000	(-1.77171855553968e+002dB,-4.75834340528656e-001°)
1.31704716824441e+000	(-1.76906065000196e+002dB,-4.79488529155202e-001°)
1.32716092980298e+000	(-1.76640274294975e+002dB,-4.83170783378778e-001°)
1.33735235613723e+000	(-1.76374483435969e+002dB,-4.86881318826373e-001°)
1.34762204364417e+000	(-1.76108692420806e+002dB,-4.90620352783276e-001°)
1.35797059330065e+000	(-1.75842901247080e+002dB,-4.94388104205943e-001°)
1.36839861069847e+000	(-1.75577109912345e+002dB,-4.98184793734823e-001°)
1.37890670607985e+000	(-1.75311318414119e+002dB,-5.02010643707378e-001°)
1.38949549437314e+000	(-1.75045526749880e+002dB,-5.05865878171205e-001°)
1.40016559522878e+000	(-1.74779734917070e+002dB,-5.09750722897126e-001°)
1.41091763305560e+000	(-1.74513942913088e+002dB,-5.13665405392634e-001°)
1.42175223705732e+000	(-1.74248150735296e+002dB,-5.17610154915164e-001°)
1.43267004126940e+000	(-1.73982358381013e+002dB,-5.21585202485711e-001°)
1.44367168459614e+000	(-1.73716565847518e+002dB,-5.25590780902341e-001°)
1.45475781084805e+000	(-1.73450773132048e+002dB,-5.29627124754007e-001°)
1.46592906877953e+000	(-1.73184980231797e+002dB,-5.33694470434277e-001°)
1.47718611212688e+000	(-1.72919187143916e+002dB,-5.37793056155337e-001°)
1.48852959964647e+000	(-1.72653393865511e+002dB,-5.41923121962002e-001°)
1.49996019515337e+000	(-1.72387600393645e+002dB,-5.46084909745890e-001°)
1.51147856756015e+000	(-1.72121806725335e+002dB,-5.50278663259652e-001°)
1.52308539091605e+000	(-1.71856012857551e+002dB,-5.54504628131370e-001°)
1.53478134444641e+000	(-1.71590218787218e+002dB,-5.58763051879050e-001°)
1.54656711259242e+000	(-1.71324424511213e+002dB,-5.63054183925175e-001°)
1.55844338505117e+000	(-1.71058630026364e+002dB,-5.67378275611483e-001°)
1.57041085681602e+000	(-1.70792835329451e+002dB,-5.71735580213721e-001°)
1.58247022821728e+000	(-1.70527040417205e+002dB,-5.76126352956694e-001°)
1.59462220496316e+000	(-1.70261245286304e+002dB,-5.80550851029198e-001°)
1.60686749818110e+000	(-1.69995449933377e+002dB,-5.85009333599286e-001°)
1.61920682445937e+000	(-1.69729654355000e+002dB,-5.89502061829545e-001°)
1.63164090588899e+000	(-1.69463858547698e+002dB,-5.94029298892494e-001°)
1.64417047010602e+000	(-1.69198062507940e+002dB,-5.98591309986173e-001°)
1.65679625033413e+000	(-1.68932266232142e+002dB,-6.03188362349712e-001°)
1.66951898542748e+000	(-1.68666469716664e+002dB,-6.07820725279218e-001°)
1.68233941991400e+000	(-1.68400672957810e+002dB,-6.12488670143613e-001°)
1.69525830403892e+000	(-1.68134875951827e+002dB,-6.17192470400667e-001°)
1.70827639380871e+000	(-1.67869078694905e+002dB,-6.21932401613220e-001°)
1.72139445103528e+000	(-1.67603281183174e+002dB,-6.26708741465341e-001°)
1.73461324338061e+000	(-1.67337483412705e+002dB,-6.31521769778876e-001°)
1.74793354440163e+000	(-1.67071685379508e+002dB,-6.36371768529921e-001°)
1.76135613359552e+000	(-1.66805887079531e+002dB,-6.41259021865450e-001°)
1.77488179644529e+000	(-1.66540088508662e+002dB,-6.46183816120238e-001°)
1.78851132446579e+000	(-1.66274289662723e+002dB,-6.51146439833631e-001°)
1.80224551524999e+000	(-1.66008490537471e+002dB,-6.56147183766781e-001°)
1.81608517251569e+000	(-1.65742691128601e+002dB,-6.61186340919721e-001°)
1.83003110615250e+000	(-1.65476891431738e+002dB,-6.66264206548721e-001°)
1.84408413226931e+000	(-1.65211091442442e+002dB,-6.71381078183859e-001°)
1.85824507324197e+000	(-1.64945291156202e+002dB,-6.76537255646476e-001°)
1.87251475776149e+000	(-1.64679490568441e+002dB,-6.81733041067056e-001°)
1.88689402088246e+000	(-1.64413689674508e+002dB,-6.86968738903050e-001°)
1.90138370407198e+000	(-1.64147888469682e+002dB,-6.92244655956878e-001°)
1.91598465525885e+000	(-1.63882086949168e+002dB,-6.97561101394200e-001°)
1.93069772888325e+000	(-1.63616285108100e+002dB,-7.02918386762117e-001°)
1.94552378594667e+000	(-1.63350482941532e+002dB,-7.08316826007709e-001°)
1.96046369406236e+000	(-1.63084680444446e+002dB,-7.13756735496611e-001°)
1.97551832750607e+000	(-1.62818877611746e+002dB,-7.19238434031731e-001°)
1.99068856726721e+000	(-1.62553074438254e+002dB,-7.24762242872260e-001°)
2.00597530110041e+000	(-1.62287270918717e+002dB,-7.30328485752566e-001°)
2.02137942357749e+000	(-1.62021467047798e+002dB,-7.35937488901514e-001°)
2.03690183613977e+000	(-1.61755662820077e+002dB,-7.41589581061768e-001°)
2.05254344715086e+000	(-1.61489858230053e+002dB,-7.47285093509359e-001°)
2.06830517194981e+000	(-1.61224053272138e+002dB,-7.53024360073184e-001°)
2.08418793290465e+000	(-1.60958247940659e+002dB,-7.58807717154995e-001°)
2.10019265946639e+000	(-1.60692442229855e+002dB,-7.64635503749331e-001°)
2.11632028822340e+000	(-1.60426636133877e+002dB,-7.70508061463563e-001°)
2.13257176295623e+000	(-1.60160829646784e+002dB,-7.76425734538282e-001°)
2.14894803469283e+000	(-1.59895022762545e+002dB,-7.82388869867702e-001°)
2.16545006176421e+000	(-1.59629215475034e+002dB,-7.88397817020280e-001°)
2.18207880986052e+000	(-1.59363407778034e+002dB,-7.94452928259490e-001°)
2.19883525208754e+000	(-1.59097599665228e+002dB,-8.00554558564822e-001°)
2.21572036902367e+000	(-1.58831791130204e+002dB,-8.06703065652753e-001°)
2.23273514877728e+000	(-1.58565982166451e+002dB,-8.12898809998216e-001°)
2.24988058704452e+000	(-1.58300172767357e+002dB,-8.19142154855862e-001°)
2.26715768716765e+000	(-1.58034362926208e+002dB,-8.25433466281823e-001°)
2.28456746019368e+000	(-1.57768552636187e+002dB,-8.31773113155393e-001°)
2.30211092493358e+000	(-1.57502741890370e+002dB,-8.38161467201073e-001°)
2.31978910802190e+000	(-1.57236930681729e+002dB,-8.44598903010624e-001°)
2.33760304397682e+000	(-1.56971119003125e+002dB,-8.51085798065509e-001°)
2.35555377526072e+000	(-1.56705306847311e+002dB,-8.57622532759261e-001°)
2.37364235234119e+000	(-1.56439494206926e+002dB,-8.64209490420215e-001°)
2.39186983375244e+000	(-1.56173681074497e+002dB,-8.70847057334383e-001°)
2.41023728615733e+000	(-1.55907867442436e+002dB,-8.77535622768417e-001°)
2.42874578440974e+000	(-1.55642053303037e+002dB,-8.84275578992905e-001°)
2.44739641161746e+000	(-1.55376238648475e+002dB,-8.91067321305772e-001°)
2.46619025920563e+000	(-1.55110423470804e+002dB,-8.97911248055854e-001°)
2.48512842698055e+000	(-1.54844607761958e+002dB,-9.04807760666636e-001°)
2.50421202319406e+000	(-1.54578791513742e+002dB,-9.11757263660359e-001°)
2.52344216460840e+000	(-1.54312974717839e+002dB,-9.18760164682062e-001°)
