time	V(h)	V(vin)
0.000000000000000e+000	4.728334e-005	0.000000e+000
6.629960526174050e-010	7.037707e-004	6.629960e-004
1.325992105234810e-009	1.349122e-003	1.325992e-003
1.988988157852215e-009	1.983339e-003	1.988988e-003
2.651984210469620e-009	2.606419e-003	2.651984e-003
3.314980263087025e-009	3.218365e-003	3.314980e-003
3.977976315704430e-009	3.819174e-003	3.977976e-003
4.640972368321833e-009	4.408848e-003	4.640972e-003
8.685774721097253e-009	7.852547e-003	8.685775e-003
1.279682787050309e-008	1.105832e-002	1.279683e-002
1.751874386140157e-008	1.436525e-002	1.751874e-002
2.212666673758297e-008	1.718309e-002	2.212667e-002
2.941778863753310e-008	2.086248e-002	2.941779e-002
3.910633709302134e-008	2.448454e-002	3.910634e-002
5.158214277575956e-008	2.712753e-002	5.158214e-002
6.699213005409609e-008	2.745647e-002	6.699213e-002
8.722716759085282e-008	2.378251e-002	8.722717e-002
1.097724675380373e-007	1.541169e-002	1.097725e-001
1.349058753207273e-007	2.458064e-003	1.349059e-001
1.568991337710082e-007	-1.056650e-002	1.568991e-001
1.746440894531987e-007	-2.134180e-002	1.746441e-001
1.931124878583132e-007	-3.197053e-002	1.931125e-001
2.109337001159832e-007	-4.092370e-002	2.109337e-001
2.379796305999854e-007	-5.150177e-002	2.379796e-001
2.697139865682032e-007	-5.948356e-002	2.697140e-001
3.033268233882867e-007	-6.291936e-002	3.033268e-001
3.370219102339671e-007	-6.192351e-002	3.370219e-001
3.791516861854223e-007	-5.661819e-002	3.791517e-001
4.295426540931789e-007	-4.726150e-002	4.295427e-001
4.825893187057860e-007	-3.479356e-002	4.825893e-001
5.498029979743479e-007	-1.383082e-002	5.498030e-001
6.258700544746113e-007	2.097374e-002	6.258700e-001
7.261288052340209e-007	8.688331e-002	7.261288e-001
8.182218430355959e-007	1.653165e-001	8.182219e-001
8.741124532360103e-007	2.209168e-001	8.741124e-001
9.164314323254933e-007	2.682740e-001	9.164314e-001
9.283697991361371e-007	2.820637e-001	9.283698e-001
9.403081659467809e-007	2.961023e-001	9.403082e-001
9.522465327574247e-007	3.103898e-001	9.522465e-001
9.641848995680686e-007	3.249262e-001	9.641849e-001
9.761232663787124e-007	3.397115e-001	9.761233e-001
9.880616331893561e-007	3.547456e-001	9.880616e-001
1.000000000000000e-006	3.700287e-001	1.000000e+000
